date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:28	305584/305584	---M--	200	added ('OK')	image/png	etag:%224a9b0-3eec388f62c80%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ln/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/ln/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ln/parallel.htm)
17:06:28	130248/130248	---M--	200	added ('OK')	image/png	etag:%221fcc8-3eec38d03c580%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ln/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/ln/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/ln/parallel.htm)
17:06:30	448716/448716	---M--	200	added ('OK')	image/png	etag:%226d8cc-3eec39893fa00%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/m/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/m/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/m/parallel.htm)
17:06:31	183727/183727	---M--	200	added ('OK')	image/png	etag:%222cdaf-3eec39c460580%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/m/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/m/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/m/parallel.htm)
17:06:33	148704/148704	---M--	200	added ('OK')	image/png	etag:%22244e0-3eec4026f9600%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/mg/hymn96.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/mg/hymn96.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/mg/parallel.htm)
17:06:33	350132/350132	---M--	200	added ('OK')	image/png	etag:%22557b4-3eec401016000%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/mg/hymn150.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/mg/hymn150.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/mg/parallel.htm)
17:06:34	205467/205467	---M--	200	added ('OK')	image/png	etag:%223229b-3eec42b161480%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/hymn150-1.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/n/hymn150-1.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/parallel.htm)
17:06:34	91608/91608	---M--	200	added ('OK')	image/png	etag:%22165d8-3eec430365600%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/hymn96-1.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/n/hymn96-1.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/parallel.htm)
17:06:36	190563/190563	---M--	200	added ('OK')	image/png	etag:%222e863-3eec419eb8c80%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/hymn150-2.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/n/hymn150-2.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/parallel.htm)
17:06:36	83367/83367	---M--	200	added ('OK')	image/png	etag:%22145a7-3eec41df92580%22	https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/hymn96-2.png	/home/dan/git/websites/odonnell/people.uleth.ca/_daniel.odonnell/caedmon/html/htm/transcription/n/hymn96-2.png	(from https://people.uleth.ca/~daniel.odonnell/caedmon/html/htm/transcription/n/parallel.htm)
